"species","Catch_8595_tonnes"
"Sprat",89051.5454545455
"Sandeel",735108.636363636
"N.pout",187395.545454545
"Herring",1456685.45454545
"Dab",NA
"Whiting",196106.545454545
"Sole",63368.7272727273
"Gurnard",7.18181818181818
"Plaice",362924.090909091
"Haddock",145793.545454545
"Cod",99201.9090909091
"Saithe",135252.727272727
