"species","SSB_1419"
"Sprat",233620.666666667
"Sandeel",535450.333333333
"N.pout",47250.8333333333
"Herring",2246380.16666667
"Dab",1.42683333333333
"Whiting",149095.333333333
"Sole",29183.5
"Gurnard",23.8333333333333
"Plaice",1130625.66666667
"Haddock",179097.5
"Cod",94693.3515
"Saithe",197580.166666667
